actual_worth,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,has_parking,instance_date,master_project_ar,master_project_en,meter_rent_price,meter_sale_price,nearest_landmark_ar,nearest_landmark_en,nearest_mall_ar,nearest_mall_en,nearest_metro_ar,nearest_metro_en,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,procedure_area,procedure_id,procedure_name_ar,procedure_name_en,project_name_ar,project_name_en,project_number,property_sub_type_ar,property_sub_type_en,property_sub_type_id,property_type_ar,property_type_en,property_type_id,property_usage_ar,property_usage_en,reg_type_ar,reg_type_en,reg_type_id,rent_value,rooms_ar,rooms_en,transaction_id,trans_group_ar,trans_group_en,trans_group_id,load_timestamp,instance_date_parsed
846873.0,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,لومينار تاور وان,Luminar Tower 1,1,2024-12-09,قرية جميرا المثلثة,Jumeirah Village Triangle,,15741.13,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,أبراج بحيرات جميرا,Jumeirah Lakes Towers,1.0,1.0,0.0,53.8,102,بيع - تسجيل مبدئى,Sell - Pre registration,لومينار تاور وان,Luminar Tower 1,3183.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2024-102475,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-12-09
975000.0,526,الخليج التجارى,Business Bay,بن غاطي سكاي رايز - تاور ايه,Binghatti Skyrise - TOWER A,1,2024-12-30,الخليج التجاري,Business Bay,,23358.89,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,41.74,102,بيع - تسجيل مبدئى,Sell - Pre registration,بن غاطي سكاي رايز,Binghatti Skyrise,3349.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,استوديو,Studio,1-102-2024-109975,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-12-30
5054000.0,330,مرسى دبي,Marsa Dubai,رزيدنسز في دبي هاربر  - البرج 1 W,W Residences At Dubai Harbour - Tower 1,1,2025-09-04,دبي هاربر,Dubai Harbour,,50188.68,,,,,,,1.0,2.0,0.0,100.7,102,بيع - تسجيل مبدئى,Sell - Pre registration,رزيدنسز في دبي هاربر W,W Residences at Dubai Harbour,3317.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2025-84598,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-09-04
2000000.0,330,مرسى دبي,Marsa Dubai,بيتش مانشن - تاور 2,BEACH MANSION - TOWER 2,1,2023-02-08,دبي هاربر,Dubai Harbour,,26979.63,,,,,,,4.0,1.0,0.0,74.13,102,بيع - تسجيل مبدئى,Sell - Pre registration,بيتش مانشن,Beach Mansion,2286.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-6258,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-02-08
1200000.0,526,الخليج التجارى,Business Bay,ايليت بزنس باي ريذيدنس,Elite Business Bay Residence,1,2025-02-13,الخليج التجاري,Business Bay,,13845.62,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,86.67,11,بيع,Sell,اليت بزنس باي ريذيدنس,ELITE BUSINESS BAY RESIDENCE,1868.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2025-6193,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-02-13
973000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,EATON PLACE,EATON PLACE,1,2024-05-09,قرية جميرا الدائرية,Jumeirah Village Circle,,11849.96,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,محطة مترو النخيل,Nakheel Metro Station,1.0,1.0,0.0,82.11,11,بيع,Sell,إيتون بلايس,EATON PLACE,1871.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2024-16060,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-05-09
2200000.0,330,مرسى دبي,Marsa Dubai,وست افينيو,WEST AVENUE,1,2024-04-29,دبي مارينا,Dubai Marina,,18817.89,برج العرب,Burj Al Arab,مارينا مول,Marina Mall,أبراج بحيرات جميرا,Jumeirah Lakes Towers,1.0,1.0,0.0,116.91,11,بيع,Sell,ويست أفنيو,WEST AVENUE,913.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2024-14436,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-04-29
1205828.0,526,الخليج التجارى,Business Bay,ذي باراغون باي اي جي او,The Paragon by IGO,1,2023-01-03,الخليج التجاري,Business Bay,,19667.72,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,61.31,102,بيع - تسجيل مبدئى,Sell - Pre registration,ذي باراغون باي أي جي أو,The Paragon By IGO,2402.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-396,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-01-03
4805810.0,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,جرينكرست تاور,Greencrest Tower,1,2026-03-18,دبي هيلز استيت,Dubai Hills Estate,,27557.83,,,,,,,1.0,1.0,0.0,174.39,102,بيع - تسجيل مبدئى,Sell - Pre registration,جرينكرست,Greencrest,4136.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,ثلاث غرف,3 B/R,1-102-2026-26834,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2026-03-18
1100000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,األي?أ بارك ريزيدنس باي ايفيرا,Olivo Park Residences by Evera,1,2025-02-13,قرية جميرا الدائرية,Jumeirah Village Circle,,15750.29,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مول الإمارات,Mall of the Emirates,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,69.84,102,بيع - تسجيل مبدئى,Sell - Pre registration,OLIVO PARK RESIDENCES BY EVERA,OLIVO PARK RESIDENCES BY EVERA,3338.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2025-12003,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-02-13
2800000.0,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,,,0,2024-10-21,حدائق الشيخ محمد بن راشد - ديستركت 7,HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7,,21367.52,,,,,,,2.0,1.0,0.0,131.04,11,بيع,Sell,ماج آي المرحلة 1,MAG EYE Phase 1,2033.0,فيلا,Villa,4.0,فيلا,Villa,4,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2024-39958,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-10-21
1728687.0,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,399 هيلز بارك ب,399 Hills Park B,1,2023-07-19,دبي هيلز استيت,Dubai Hills Estate,,18298.8,قرية عالمية,Global Village,مول الإمارات,Mall of the Emirates,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,1.0,1.0,0.0,94.47,102,بيع - تسجيل مبدئى,Sell - Pre registration,399 هيلز بارك ب,399 Hills Park B,2510.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-34362,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-07-19
6617888.0,330,مرسى دبي,Marsa Dubai,سى بوينت البرج 1,SEAPOINT Tower 1,1,2023-07-17,دبي هاربر,Dubai Harbour,,61135.22,,,,,,,1.0,1.0,0.0,108.25,102,بيع - تسجيل مبدئى,Sell - Pre registration,سي بوينت,SEAPOINT,2633.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفتين,2 B/R,1-102-2023-33817,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-07-17
2219000.0,526,الخليج التجارى,Business Bay,كانال هايتس 2,Canal Heights 2,1,2023-08-16,الخليج التجاري,Business Bay,,30802.33,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,72.04,102,بيع - تسجيل مبدئى,Sell - Pre registration,قنال هايتس 2,CANAL HEIGHTS 2,2615.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-39710,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-08-16
986034.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,سافاير 32 من دار الكرامة,Sapphire 32 By Dar Alkarama,1,2024-04-05,قرية جميرا الدائرية,Jumeirah Village Circle,,13535.13,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مول الإمارات,Mall of the Emirates,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,72.85,102,بيع - تسجيل مبدئى,Sell - Pre registration,Sapphire 32 by Dar Alkarama,Sapphire 32 by Dar Alkarama,2757.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2024-21842,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-04-05
2560000.0,526,الخليج التجارى,Business Bay,اوندا باي كاسكو,ONDA BY KASCO,1,2025-01-30,الخليج التجاري,Business Bay,,21230.72,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,120.58,102,بيع - تسجيل مبدئى,Sell - Pre registration,اوندا - كاسكو,ONDA BY KASCO,3052.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفتين,2 B/R,1-102-2025-7144,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-01-30
1030000.0,330,مرسى دبي,Marsa Dubai,سباركل تاور 3,Sparkle Tower 3,1,2025-12-03,دبي مارينا,Dubai Marina,,28242.39,برج العرب,Burj Al Arab,مارينا مول,Marina Mall,مساكن شاطئ جميرا,Jumeirah Beach Residency,1.0,1.0,0.0,36.47,11,بيع,Sell,أبراج سباركل,SPARKLE TOWERS,1551.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,استوديو,Studio,1-11-2025-50489,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-12-03
